"Country","Sex","Year","Age-standardised mean systolic blood pressure (mmHg)","Age-standardised mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure (mmHg)","Age-standardised mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised prevalence of raised blood pressure","Age-standardised prevalence of raised blood pressure lower 95% uncertainty interval","Age-standardised prevalence of raised blood pressure upper 95% uncertainty interval","Crude prevalence of raised blood pressure","Crude prevalence of raised blood pressure lower 95% uncertainty interval","Crude prevalence of raised blood pressure upper 95% uncertainty interval","Number of adults with raised blood pressure","Number of adults with raised blood pressure lower 95% uncertainty interval","Number of adults with raised blood pressure upper 95% uncertainty interval"
"United States of America","Women",1993,116.610284195769,115.188443446087,118.03342881113,71.9102755144824,70.949733714047,72.8438896225414,0.144800951346887,0.119218024539578,0.171840604597036,0.175415199710233,0.148077738270856,0.203863164469316,17701377.9825846,14379977.8876427,21177582.5111264
"United States of America","Women",1994,116.432016447667,115.047433464987,117.799043764804,71.6841909580978,70.7521871022406,72.6063617560987,0.142366851269497,0.11723128475089,0.168689966912879,0.173339034845515,0.146345852133352,0.201526972416941,17656934.3657664,14323315.9041922,21129727.6268405
"United States of America","Women",1995,116.284170792616,114.951324288769,117.621389102127,71.4803568138206,70.5805659924491,72.3730942866142,0.140049822858743,0.115642974626001,0.166190011734996,0.171388740237884,0.144992087883098,0.19913467412771,17638006.6754856,14299900.4385398,21104699.8316698
"United States of America","Women",1996,116.168799212133,114.869376036225,117.490399647153,71.2971600901981,70.4255260383633,72.1693261192646,0.137825710645001,0.113688609598182,0.16319796530958,0.169545102578157,0.143533175228738,0.196850697961627,17645675.5171724,14286881.3025789,21111372.1481877
"United States of America","Women",1997,116.085061101822,114.820931308315,117.371111057148,71.1332193186976,70.2706909415267,72.0024632759464,0.135660972501213,0.112061408876445,0.160422077951379,0.167766651082698,0.142051572799933,0.194815277179154,17673018.5356935,14291302.7491134,21151054.3719927
"United States of America","Women",1998,116.032843150639,114.765791017753,117.31784148678,70.9923517714592,70.1238445187988,71.8438777673258,0.133597783191761,0.110648793461488,0.157754449300649,0.16608860338629,0.140876906741828,0.192626988264542,17717156.3351552,14347124.2716629,21229204.7842799
"United States of America","Women",1999,116.010965240575,114.727976533502,117.320669845279,70.8726070341767,69.9959576957833,71.7286009565828,0.131576477787652,0.109298119763156,0.155254904802809,0.164431011648997,0.139515130454692,0.190653357447054,17760259.3077266,14361976.6976274,21302291.0165164
"United States of America","Women",2000,116.012681426161,114.737433173785,117.316932647726,70.7730684785967,69.8896786986442,71.6497521487575,0.129574267985865,0.107769311154244,0.152899103497332,0.162764008123756,0.138471031572505,0.188575049530218,17792479.2522706,14374842.0500998,21369469.3338073
"United States of America","Women",2001,116.031846688953,114.728375282189,117.321120313055,70.6949014814654,69.8049338428486,71.5629811487991,0.127575095382362,0.106335687743039,0.150568615675599,0.161062655938842,0.137262670792219,0.186629974389989,17808814.4120955,14386144.1928775,21410735.3032808
"United States of America","Women",2002,116.068675747783,114.736490467047,117.387705040804,70.6392903245343,69.7454752907565,71.5346199356632,0.12559996982844,0.104817988207191,0.148558016517028,0.159367995090662,0.135737805613429,0.185193446266942,17815945.0225326,14357281.8457498,21447602.0147683
